Unnamed: 0,HOLEID,DEPTH,RL,Method,EAST,NORTH,CollarDip,CollarAzimuth,RigID,TENEMENTID,STARTDATE,ENDDATE,Surveyed
D,CB0069,39.0,422.0,RC,727002.0,7534399.0,-90.0,0.0,RCD250,E45/2499,17-Jan-05,17-Jan-05,24-Feb-05
D,CB0070,33.0,424.0,RC,727004.0,7534802.187,-90.0,0.0,RCD250,E45/2499,17-Jan-05,17-Jan-05,24-Feb-05
D,CB0071,63.0,422.0,RC,726397.0,7534202.958,-90.0,0.0,RCD250,E45/2499,17-Jan-05,17-Jan-05,24-Feb-05
D,CB0072,63.0,415.0,RC,724801.0,7534399.542,-90.0,0.0,RCD250,E45/2499,18-Jan-05,18-Jan-05,24-Feb-05
D,CB0073,50.0,415.0,RC,724796.0,7533999.782,-90.0,0.0,RCD250,E45/2499,18-Jan-05,19-Jan-05,24-Feb-05
D,CB0074,81.0,414.0,RC,724814.0,7533599.409,-90.0,0.0,RCD250,E45/2499,19-Jan-05,19-Jan-05,24-Feb-05
D,CB0075,95.0,415.0,RC,724800.0,7533201.633,-90.0,0.0,RCD250,E45/2499,20-Jan-05,20-Jan-05,
D,CB0076,73.0,414.0,RC,724794.0,7532810.499,-90.0,0.0,RCD250,E45/2499,21-Jan-05,21-Jan-05,24-Feb-05
D,CB0077,65.0,413.0,RC,724801.0,7532410.104,-90.0,0.0,RCD250,E45/2499,21-Jan-05,22-Jan-05,24-Feb-05
D,CB0078,57.0,424.0,RC,727198.0,7534015.801,-90.0,0.0,RCD250,E46/590,22-Jan-05,22-Jan-05,15-Jun-05
D,CB0079,79.0,414.0,RC,724802.0,7532992.526,-90.0,0.0,RCD250,E45/2499,24-Jan-05,24-Jan-05,24-Feb-05
D,CB0080,81.0,415.0,RC,722410.0,7534805.436,-90.0,0.0,RCD250,E45/2499,24-Jan-05,26-Jan-05,24-Feb-05
D,CB0081,76.0,415.0,RC,722410.0,7534603.695,-90.0,0.0,RCD250,E45/2499,26-Jan-05,26-Jan-05,24-Feb-05
D,CB0082,87.0,413.0,RC,722390.0,7534395.485,-90.0,0.0,RCD250,E45/2499,27-Jan-05,27-Jan-05,24-Feb-05
D,CB0083,36.0,415.0,RC,724595.0,7535000.821,-90.0,0.0,RCD250,E46/590,28-Jan-05,28-Jan-05,24-Feb-05
D,CB0084,63.0,415.0,RC,724802.0,7535009.486,-90.0,0.0,RCD250,E45/2499,28-Jan-05,29-Jan-05,24-Feb-05
D,CB0085,39.0,418.0,RC,725599.0,7535206.356,-90.0,0.0,RCD250,E45/2499,29-Jan-05,29-Jan-05,24-Feb-05
D,CB0086,57.0,419.0,RC,725616.0,7534570.517,-90.0,0.0,RCD250,E45/2499,29-Jan-05,30-Jan-05,24-Feb-05
D,CB0087,57.0,419.0,RC,725602.0,7534402.604,-90.0,0.0,RCD250,E45/2499,30-Jan-05,31-Jan-05,24-Feb-05
D,CB0088,51.0,419.0,RC,725591.0,7533997.384,-90.0,0.0,RCD250,E45/2499,31-Jan-05,1-Feb-05,24-Feb-05
